Abbreviation,Full-Form,Type,Pronunciation
ACE,Advanced Cartographic Equipment; Advanced Cartographic Environment (PCI Carto Inc.),acronym,ACE
ACEC,American Consulting Engineers Council,acronym,ACE C
ACG,Association canadienne des geographes; Address Coding Guides,initialism,
ACI,Assn. Cartographique Internationale = International Cartographic Assn.,initialism,
ACIC,Aeronautical Chart and Information Center (U.S.); Automated Cartographic Information Center (Univ. of Minnesota Library),initialism,
ACIU,"Central Interpretation Unit (Royal Air Force, Great Britain)",initialism,
ACLS,Assn. of Canadian Lands Surveyors,initialism,
ACM,Assn. for Computing Machinery,initialism,
ACM- SIGGRAPH,Assn. for Computing Machinery Special Interest Group on Graphics,initialism,ACM -  SIGGRAPH
ACMGIS,Assn. for Computing Machinery Geographic Information Systems,initialism,
ACML,Assn. of Canadian Map Libraries,initialism,
ACMLA,Assn. of Canadian Map Libraries and Archives,initialism,
ACMS,Automated Census Mapping System,initialism,
ACOE,Army Corps of Engineers (U.S.),initialism,
ACRES,Australian Centre for Remote Sensing,acronym,ACRES
ACRS,Asian Conference on Remote Sensing,initialism,
ACS,Advanced Cartographic Systems; Agricultural Cooperative Service; Automated Cartographic Systems; Automatic chemical sprinklers; Attitude Control Subsystem (Landsat); American Community Survey (USBC),initialism,
ACSAD,Arab Center for the Studies of Arid Zones and Dry Lands,initialism,AC SAD
ACSC,Automobile Club of Southern California,initialism,
ACSM,American Congress on Surveying and Mapping,initialism,
ACSTTO,Assn. of Certified Survey Technicians and Technologists of Ontario,initialism,
ACT,Administration du Cadastre et de la Topographie (Luxembourg); Australian Capital Territory,acronym,ACT
AD,Administrative Division (USGS); Aeronautical data,initialism,
ADAC,Allgemeiner Deutscher Automobil-Club,initialism,A DAC
ADAR,"Airborne Data Acquisition and Registration (Positive Systems, Inc.)",acronym,ADAR
ADC,Alexandria Drafting Company; American Digital Cartography Inc,initialism,
ADDA,American Design Drafting Assn.,acronym,ADDA
ADE,AutoCAD Data Extension,initialism,
ADEOS,Advanced Earth Observing Satellite,acronym,ADEOS
ADEPT,Alexandria Digital Earth Prototype,initialism,A DEPT
ADF,Application Development Facility (GeoVision Corp.),initialism,
ADFG,Alaska Dept. of Fish and Game,initialism,
ADI,Areas of Dominent Influence (USBC TIGER),initialism,
ADK,Arealdatakontoret (Denmark),initialism,
ADL,Alexandria Digital Library,initialism,
ADM1,First-order administrative division,initialism,
ADM2,Second-order administrative division,initialism,
ADNR,Alaska Dept. of Natural Resources,initialism,
ADOT,Arizona Dept. of Transportation,,
ADOTPF,Alaska Dept. of Transportation and Public Facilities,,
ADP,Automated data processing,initialism,
ADPDP,Alaska Division of Policy Development and Planning,initialism,
ADR,Aerial Data Reduction Associates Inc.,initialism,
ADRG,ARC-digitized raster graphics (USDMA),initialism,
ADRGs,Arc digitized raster graphics(USDMA),initialism,
ADS,Aerial Data Service (firm),initialism,
ADSL,Asymmetric Digital Subscriber Line,initialism,
ADT,"Advanced Data Technologies, Inc.; Abstract Data Type",initialism,
ADW,Agricultural drainage well,initialism,
ADWR,Arizona Dept. of Water Resources,initialism,
AE2S,"Advanced Engineering and Environmental Services, Inc.",initialism,
AEC,"Architecture, engineering and construction",initialism,
AED,Analysis and Evaluation Div.,initialism,
AEF,"Alliance for Environmental Education; Accurate Environmental Forecasting, Inc.",initialism,
AEG,Association of Engineering Geologists,initialism,
AEI,Aerial Exposure Index,initialism,
AEIDC,Arctic Environmental Information Data Center,initialism,
AEM,Atmospheric Explorer Mission,initialism,
AERS,Advanced Earth Resources Satellite,initialism,
AES,Analysis and Evaluation Staff,initialism,
AESE,Association of Earth Science Editors,initialism,
AFA,American Forestry Assn.; Automatic fire alarm,initialism,
AFB,Air Force base; Aerial FotoBank (Firm),initialism,
AFCEA,Armed Forces Communications and Electronics Assn.,initialism,
AFE,Automated feature extraction,initialism,
AFF,American Fact Finder (DADSO),initialism,
AFFRC,"Agriculture, Forestry and Fisheries Research Center (Japan)",initialism,
AFI,American Forest Inst.,initialism,
AFLAG,Asean Federation of Land Surveying and Geomatics,initialism,A FLAG
AFREF,African Geodetic Reference Frame,initialism,AF REF
AFS,Air Force station,initialism,
AFT,Ambiguity function technique,initialism,
AFWA,Air Force Weather Agency (U.S.),initialism,
AG,Attorney General,initialism,
AGC,Army Geospatial Center (US); Assn. Geologique du Canada; Arkansas Geological Commission,initialism,
AGCHO,Afghan Geodesy and Cartography Head Office,initialism,
AGCO,Afghan Geodesy and Cartography Office,initialism,
AGDS,Automated Graphics Digitizing System,initialism,
AGI,"American Geological Inst.; Assn. for Geographic Information (London); Analytical Graphics, Inc.",initialism,
AGIC,Alabama Geographic Information Council; Arizona Geographic Information Council,acronym,AGIC
AGILE,Association of Geographic Information Laboratories,acronym,
AGIO,Arkansas Geographic Information Office,acronym,
AGIS,Automated Geographic Information System,acronym,
AGS,American Geographical Society; Alberta Geological Survey,initialism,
AGSL,American Geographical Society Library,initialism,
AGSO,Australian Geological Survey Organisation,initialism,
AGSS,American Geographical and Statistical Society,initialism,
AGU,American Geophysical Union,initialism,
AHAP,Alaska High-altitude Aerial Photography (program),initialism,
AHCPR,U.S. Agency for Health Care and Policy Research,initialism,
AHDAS,Adaptable Hydrologic Data Acquisition System,initialism,AH DAS
AHDS,Arts and Humanities Data Service,initialism,
AHRS,Attitude and Heading Reference System,initialism,
AHS,Automated Highway System,initialism,
AI,Artificial intelligence; Appraisal Inst.,initialism,
AI/ANA,American Indian/Alaska Native Area,initialism,AI / ANA
AIA,American Inst. of Architects,initialism,
AIC,Australian Institute of Cartographers,initialism,
AICP,American Inst. of Certified Planners,initialism,
AID,Agency for International Development; Aeronautical information data,acronym,AID
AIH,American Inst. of Hydrology,initialism,
AILESP,American Indian Lands Environmental Support Project,initialism,AI LESP
AIMS,Airborne Integrated Mapping System; Automated Investigation Measurement System (Nikon),acronym,
AIPG,American Inst. of Professional Geologists,initialism,
AIPP,Ambroziak Infinite Perspective Projection,initialism,
AIR,American Indian reservation,acronym,
AIRB,Alabama Inspection and Rating Bureau,initialism,AIR B
AIREA,American Inst. of Real Estate Appraisers,initialism,AIR EA
AIRS,Atmospheric infrared sounder,acronym,
AISH,Assn. Internationale des Sciences Hydrologiques = International Assn. of Hydrological Sciences,acronym,
AJG,African Journal of Geoinformation,initialism,
AK,Alaska,initialism,
AL,Alabama,initialism,
ALA,American Library Assn.,initialism,
ALAE,Atmospheric LymanAlpha Emissions,initialism,
ALARS,Alaska Land and Resources System,acronym,
ALI,Advanced Land Imager,acronym,
ALIS,Automated Land Information System (TVA),acronym,
ALMRS,Automated Land and Mineral Record System (US BLM),initialism,
ALOHA,Aerial Locations of hazardous Atmospheres (model),acronym,
ALP,Automated Lands Project,initialism,
ALSA,Alberta Land Surveyors Association,initialism,
ALTA,American Land Title Assn.,initialism,
ALTM,Airborne Laser Terrain Mapper (Optech),initialism,
ALTMS,Airborne Laser Topographic Mapping System,initialism,
AM,Automated Mapping,initialism,
AM/FM,Automated mapping/facilities management,initialism,AM / FM
AMA,Associacion Mexicana Automovilistica,initialism,
AMAD,Airborne Missions and Applications Division (NASA-Ames Research Center),initialism,A MAD
AMAP,Arctic Monitoring and Assessment Program,acronym,
AMC,Assn. Mineralogique du Canada; Australian Map Circle Inc.,initialism,
AME,Aero-Metric Engineering Inc.,initialism,
AMG,Australian Map Grid; Automated machine guidance,initialism,
AMI,Applied Mapping Inc.,initialism,
AMIE,Airglow Measurements of Infrared Measurements Emissions,initialism,
AMIS,Aviation Management Information System,initialism,
AMISAR,Active Microwave ImagerSynthetic Aperture Radar,acronym,
AML,ARC Macro Language,initialism,
AMPR,American Map Price Record,initialism,
AMPS,Automatic Mapping and Planning System,initialism,
AMS,Army Map Service; American Meteorological Society; Attitude Measurement Sensor; Automated Mapping System,initialism,
AMSD,Adjusted Mapping Support Data,initialism,
AMSR,Advanced Microwave Scanning Radiometer,initialism,
AMSU,Advanced Microwave Sounding Unit (JPL),initialism,
ANA,Area Navigation Approach,initialism,
ANAE,Atlas of North American English,initialism,
ANARE,Australian National Antarctic Research Expeditions,initialism,
ANGEL,Airborne Natural Gas Emission Lidar (ITT),acronym,
ANMS,Automated Notice to Mariners System,initialism,
ANOVA,Analyses of variance,acronym,
ANRC,Alaska Native Regional Corp.,initialism,
ANSI,American National Standards Inst.,initialism,
ANTGS,Alaska Natural Gas Transportation System,initialism,
ANV,Alaska Native village,initialism,
ANVSA,Alaska Native village statistical area,initialism,
ANWR,Arctic National Wildlife Refuge,initialism,
ANZLIC,Australia New Zealand Land Information Council,initialism,
ANZMapS,Australian and New Zealand Map Society,initialism,ANZMapS
AO,Area of Operations,initialism,
AOA,"Allen Osborne Associates, Inc.",initialism,
AODC,Australian Oceanographic Data Centre,initialism,
AOI,Area of Interest,initialism,
AOIPS,Atmospheric and Oceanographic Image Processing System,initialism,
AOL,America On Line,initialism,
AOLS,Assn. of Ontario Land Surveyors,initialism,
AOML,Atlantic Oceanographic and Meteorological Laboratory,initialism,
AOO,American Oceanographic Organization,initialism,
AOSS,Ashtech Office Suite for Survey,initialism,
AP,Analytical Plotter,initialism,
APA,American Planning Assn.,initialism,
APBEL,Atlantic Provinces Board of Examiners for Land Surveyors,initialism,
APCA,Air Pollution Control Assn.,initialism,
APCM,Aerial Photography Contract Management System,initialism,
APD,"Automated Plat Design (ConneXt, Inc.)",initialism,
APE,Allen Precision Equipment,initialism,
APEGGA,"Assn. of Professional Engineers, Geologists and Geophysicists of Alberta",initialism,
APFO,Aerial Photography Field Office (USDA),initialism,
API,American Petroleum Inst.; Application programming interface,initialism,
APIS,Aerial Photography Information System,initialism,
APMI,Aerial Photography Micrographic Index System (USGS),initialism,
APPSR,Aerial Photography Progress Summary Report,initialism,
APQF,Aerial Photography Quad File,initialism,
APR,Airborne Profile Recorder,initialism,
APS,Aerosol Polarimetry Sensor,initialism,
APSR,Aerial Photography Summary Record,initialism,
APSRS,Aerial Photography Summary Record System (USGS),initialism,
APT,Automatic picture transmission; Area proportional to,initialism,
APTS,Aerial Profiling of Terrain System,initialism,
APWA,American Public Works Assn.,initialism,
APWWA,American Public Water Works Assn.,initialism,
AR,Arkansas,initialism,
ARA,Address Register Area; Algemeen Rijksarchief (Netherlands),initialism,
ARAMCO,Arabian American Oil Company,initialism,A RAMCO
ARC,Ames Research Center (NASA); Appalachian Regional Commission,initialism,
ARCC,American Rivers Conservation Council,initialism,
ARG,American Resources Group,initialism,
ARIA,Arizona Regional Image Archive,acronym,
ARIS,Alabama Resource Information System; Arizona Resources Information System,acronym,
ARM,Administracion de Recursos Minerales (Panama); Airborne Remote Mapping,initialism,
ARMIS,Arkansas Resource Management Information System,acronym,
ARMS,Agricultural Resource Management System (Canada),acronym,
ARRSTC,Asian Regional Remote Sensing Training Centre,initialism,
ARS,Agricultural Research Service (USDA),initialism,
ARSC,Australian Remote Sensing Conference,initialism,
ARSP,Applied Remote Sensing Program (Univ. of Arizona),initialism,
ARZ,AutoRestricted Zone,initialism,
AS,Anti-spoofing; Area source; automatic sprinklers,initialism,
ASA,American Standards Assn.,initialism,
ASAP,Advanced Scientific Array Processor; Agricultural Sciences Advisory Panel,initialism,
ASAR,Advanced Synthetic Aperture Radar,acronym,
ASB. CL.,Asbestos-covered frame building,initialism,
ASC,American Society of Cartographers,initialism,
ASCE,American Society of Civil Engineers,initialism,
ASCE SMD,American Society of Civil Engineers Surveying and Mapping Division,initialism,ASCE SMD
ASCF,Ames Satellite Communications Facility,initialism,
ASCIE,American Standard Code for Information Exchange,acronym,ASCII
ASCII,American Standard Code for Information Interchange,acronym,ASCII
ASCLA,Assn. of Specialized and Cooperative Library Agencies (ALA),initialism,
ASCP,America Society of Consulting Planners,initialism,
ASCS,Agricultural Stabilization and Conservation Service (USDA),initialism,
ASDD,Australian Spatial Data Directory,initialism,
ASDI,Australian Spatial Data Infrastructure,initialism,
ASEE,American Society for Engineering Education,acronym,A SEE
ASF,Alaska SAR Facility,initialism,
ASFE,Assn. of Soil and Foundation Engineers,initialism,
ASFPM,Assn. of State Floodplain Managers,initialism,
ASGA,Assn. des Services Geologiques Africains,initialism,
ASGC,Australian Statistical Geographical Classification,initialism,
ASGS,Australian Statistical Geography Standard,initialism,
ASHTD,American Assn. of State Highway and Transportation Officials,initialism,
ASI,"Analytical Surveys, Inc.",initialism,
ASLA,American Society of Landscape Architects,initialism,
ASLO,American Society of Limnology and Oceanography,initialism,
ASMC,Alaska Surveying and Mapping Conference,initialism,
ASO,Australian Survey Office,initialism,
ASP,American Society of Photogrammetry; Application service provider,initialism,
ASPG,American Society for Professional Geographers,initialism,
ASPLS,Alabama Society of Professional Land Surveyors; Alaska Society of Professional Land Surveyors,initialism,
ASPRS,American Society for Photogrammetry and Remote Sensing,initialism,
ASPS,Arkansas Society of Professional Surveyors,initialism,
ASRL,Atmospheric Sciences Research Laboratory,initialism,
AST,Atlantic Standard Time; Automated Summary Tables,initialism,
ASTER,Advanced Spaceborne Thermal Emission and Reflection Radiometer,acronym,
ASTM,American Society for Testing Materials,initialism,
AT,Aero-Triangulation,initialism,
ATC,Air Target Chart; Advance Technology Corp.,initialism,
ATID,Attribute ID,initialism,
ATISRoads,Arizona Transportation Information System (ADOT),acronym,ATIS Roads
ATKIS,Amtliches Topographisch-Kartographisches Informationssystem,initialism,AT KIS 
ATM,Adaptive triangular mesh,initialism,
ATMET,"Atmospheric, Meteorological and Environmental Technologies, LLC",initialism,
ATMS,Advanced Technology Microwave Sounder,initialism,
ATON,Aids to Navigation,acronym,
ATR1,Automatic Target Recognition module (Leica),acronym,
ATS,Advanced Technology Satellite; Applications Technology Satellite; Automated Technical Systems (Firm),initialism,
AU,Astronomical unit,initialism,
AURISA,Australasian Urban and Regional Information Systems Assn.,acronym,AURISA
AUSDEC,Australasian Data Exchange Centre,initialism,
AUSLIG,Australian Surveying and Land Information Group,initialism,
AUV,Autonomous underwater vehicle,initialism,
AUVSI,Association for Unmanned Vehicle Systems International,initialism,
AV,Audio-visual; AmericaView,initialism,
AVCA,"Audio-visual and Cartographic Archives Div., National Archives of Canada",initialism,
AVHRR,Advanced Very High Resolution Radiometer,initialism,
AVI,Audio Visual Interleave,initialism,
AVIRIS,Advanced Visible/InfraRed Imaging Spectrometer,acronym,AVIRIS
AVL,Automatic Vehicle Location,initialism,
AVNIR,Advanced Visible and Near Infrared Radiometer,initialism,
AVO,Alaska Volcano Observatory; Audio/visual object; Amplitude Versus Offset;,initialism,
AVRI,Arizona Vegetation Resource Inventory,initialism,
AVS,"Application Visualization System (Visual Systems, Inc.)",initialism,
AWAR,Area weighted average resolution,initialism,
AWG,Association for Women Geoscientists,initialism,
AWIPS,Advanced Weather Interactive Processing System,initialism,
AWLS,American West Land Surveying (Firm),initialism,
AWMC,Ancient World Mapping Center,initialism,
AWMSAS,ArcView Marine Spill Analysis System,initialism,
AWRA,American Water Resources Assn.,initialism,
AWS,Air Weather Service,initialism,
AWWA,American Water Works Assn.,initialism,
AZ,Arizona,initialism,
Abzw,Abzweigstelle,initialism,
Accu-DRAPE,High-accuracy DEM Draped Images,acronym,Accu - DRAPE
AccuDEM,High-accuracy DEM,acronym,Accu DEM
Ad. St.,Aldolf Stieler,initialism,Ad. St.
AdV,Arbeitsgemeinschaft der Vermessungsverwaltungen der Lander der Bundesrepublik Deutschland,initialism,
Adm.,Admiral; Admiralty,initialism,
Aest.,Aestuarium = Estuary,initialism,
AfRL,Akademie fur Raumforschung und Landesplanung (Germany),initialism,
AgRI- STARS,Agriculture and Resources Inventory Surveys through Aerospace Remote Sensing,acronym,AgRI - STARS
Ala.,Alabama,initialism,Ala.
Alt.,Altitude,acronym,Alt.
An.,Anno = year,initialism,An.
Apo.,Apogee,initialism,Apo.
Arb.,Arbeiter,initialism,Arb.
Arc-SDE,Arc Spatial Data Engine,initialism,Arc-SDE
ArcFM,Arc Facilities Manager (ESRI),initialism,ArcFM
Arch.,Architect; Architecture,acronym,Arch.
Ark.,Arkansas,acronym,Ark.
Arr.,Arrondissement,initialism,Arr.
Artil.,Artillery,acronym,Artil.
Ass.,Association,acronym,Ass.
Assn.,Association,initialism,Ass n.
Av.,Avenue,initialism,Av.
Ave.,Avenue,initialism,Ave.
AzMAP,Arizona Mapping Advisory Council,initialism,AzMAP
B,Brigade; Bulletin,initialism,
B&L,Boggs and Lewis,initialism,B & L
B.E.F.,British Expeditionary Force,initialism,B.E.F.
B/W,Black and white,initialism,B / W
BA,Booksellers Assn. of Great Britain & Ireland,initialism,BA
BAAMA,Bay Area Automated Mapping Assn.,acronym,
BADGER,Bay Area Digital GeoResource,acronym,
BAKOSUR- TANAL,Badan Koordinasi Survey dan Pemetaan Nasional (Indonesia) = National Coordination Agency for Surveying and Mapping (Indonesia),acronym,BAKOSUR- TANAL
BAOR,British Army of the Rhine,initialism,BA OR
BAOSC,Bay Area Open Space Council,initialism,BAOSC
BARCIS,BARCode Information System,acronym,
BARD,San Francisco Bay Area Regional Database,acronym,
BARP,Bundesamt fur Raumplanung (Switzerland),acronym,
BART,Bay Area Rapid Transit District (California),acronym,
BAS,British Antarctic Survey,acronym,
BASIC,Beginner's All-purpose Symbolic Instruction Code; Bay Area Shared Information Consortium,acronym,
BASINS,Better Assessment Science Integrating Point and Nonpoint Systems (USEPA),acronym,
BATCO,Boulder Area Trails Coalition,acronym,
BB,Band-by-band; Blattbereich,initialism,
BBS,Bulletin board system,initialism,
BC,British Columbia; Ballistic camera; Bureau of the Census (U.S.),initialism,
BCC,Bibliographic Control Committee (ACMLA),initialism,
BCDC,Bay Conservation and Development Commission,initialism,
BCGS,Board of Coast and Geodetic Survey (Philippines),initialism,
BCH,Beach,initialism,
BCSS,Battlefield Command Support System (Australian Army),initialism,
BDC,Base de donnees sur les collectivities (Agriculture and Agri-Food Canada),initialism,
BDET,"Bengston, DeBell, Elkin & Titus Ltd.",initialism,
BDG,Bridge,initialism,
BE,Brick enclosed elevator,initialism,
BEA,"Bernhard, Eisenbraun and Associates; Bureau of Economic Analysis (US)",initialism,
BEG,Bureau of Economic Geology (Texas),initialism,
BEICIP,Bureau d'Etudes Industrielles et de Cooperation de l'Institut Francais du Petrole,initialism,BEI CIP
BES,"Bureau of Environmental Service (Portland, Oregon)",acronym,
BETS,Brunson Electronic Triangulation System,acronym,
BEV,Bundesamt fur Eich- und Vermessungswesen (Austria),acronym,
BFE,Base flood elevation,initialism,
BG,Block group,initialism,
BGC,Business Geographics Conference,initialism,
BGHT,Bight,initialism,
BGN,Board on Geographic Names (U.S.),initialism,
BGS,British Geological Survey,initialism,
BHIC,Brabants Historisch Informatie Centrum = Brabant Historical Information Centre,initialism,
BHS,"Boston Harbor Software, Inc.",initialism,
BI,Big Idea (NIMA); Business intelligence,initialism,
BIA,Bureau of Indian Affairs (U.S.),initialism,
BIC,Borderlands Information Center (Texas),initialism,
BICI,Book item contribution identifier,acronym,
BIG,Brunei Institution of Geomatics,acronym,
BIL,Band Interleaved by Line,acronym,
BIM,Building information modeling,acronym,
BIMCC,Brussels International Map Collectors' Circle,initialism,BIM CC
BIOMAPS,Biodiversity Mapping for Protection and Sustainable Use of Natural Resources,acronym,BIO MAP
BIOTROP,Regional Center for Tropical Biology (Indonesia),acronym,
BIP,Band Interleaved by Pixel,acronym,
BLDG,Building,initialism,
BLG,Binary line generalization,initialism,
BLIS,Brownfields Location Information System (Wisconsin Dept. of Commerce),initialism,
BLM,Bureau of Land Management (U.S.),initialism,
BLOB,Binary large object,initialism,
BLPU,Basic land and property unit,initialism,
BLS,Bahamas Lands and Surveys Dept.,initialism,
BLT,Bundesamt fur Landestopographie (Switzerland),initialism,
BLVA,Bayerisches Landesvermessungsamt,initialism,
BM,Bench mark; Bureau of Mines,initialism,
BMA,Botswana Ministry of Agriculture,initialism,
BMAC,Bactria Margiana Archaeology Complex,initialism,
BMDO,Ballistic Missile Defense Organization (U.S.),initialism,
BMG,Bureau of Mines and Geosciences (Philippines),initialism,
BMR,"Bureau of Mineral Resources (Australia, Papua New Guinea)",initialism,
BMW,"Barclay Mapworks, Inc.",initialism,
BN,Biblioth`eque Nationale,initialism,
BNA,Block numbering area,initialism,
BND,Stream bend,initialism,
BNDT,Base nationale de donnees topographiques (Canada),initialism,
BNPC,Bathymetric navigation planning chart,initialism,
BNPD,Bivariate Normal Probability Density,initialism,
BNSC,British National Space Centre,initialism,
BOA,Building omission area,initialism,
BOC,Bureau of the Census,initialism,
BOFRS,Books and Open-File Report Section (USGS),initialism,
BOLS,BADGER On-line Service,initialism,
BOM,Bureau of Mines,initialism,
BOP,Bureau of Printing,initialism,
BOR,Bureau of Reclamation (U.S.),initialism,
BOREAS,Boreal Ecosystem Atmosphere Study,acronym,
BORPELS,Board of Registration for Professional Engineers and Land Surveyors (Calif.),acronym,BOR PELS
BOSS,"Behavior of Offshore Structures, Conference on",acronym,
BOTUS,Best of the U.S. (Space Imaging),acronym,
BP,Boundary marker (USDMA),initialism,
BPA,Bonneville Power Administration,initialism,
BPI,Bits per Inch,initialism,
BPPT,Badan Pembinaan dan Penerapan Teknologi (Indonesia),initialism,
BPR,Bureau of Public Roads,initialism,
BPS,Bits per Second,initialism,
BR,Bureau of Reclamation,initialism,
BRFD,Bidirectional reflectance distribution function,initialism,
BRGM,Bureau de recherches geologique et minieres (France),initialism,
BRH,"Bush, Roed & Hitchings (Firm)",initialism,
BRICMICS,British and Irish Committee for Map Information and Catalogue Systems,acronym,BRIC MICS
BRS,Bibliographic Retrieval Service,initialism,
BS,Bureau of Statistics (Japan),initialism,
BSB,Bayerische Staatsbibliothek,initialism,
BSC,Boston Survey Consultants,initialism,
BSE,Base flood elevation,initialism,
BSNH,Headwater basin,initialism,
BSQ,Band Sequential,initialism,
BSR,Bibliographic Standard Record,initialism,
BSU,Base Spatial Unit,initialism,
BT,Base Topo,initialism,
BTA,Basic Trading Areas (FCC),initialism,
BTS,Bureau of Transportation Statistics (US),initialism,
BUIS,Beihai Urban Information Center,initialism,
BUPMIS,Beihai Urban Planning Management Information System,acronym,
BUPNIS,Beijing Underground-Network Information System,initialism,BUPNIS
BUTE,Butte,acronym,
BVG,Berliner Verkehrs Gesellschaft,initialism,
BVU,Brightness Value Unit,initialism,
BWC,Bandwidth Compression,initialism,
BWE,Bandwidth Expansion,initialism,
Banobras,Banco Nacional de Obras y Servicios Publicos (Mexico),acronym,
Bdy,Boundary,initialism,
Betrbf,Betriebsbahnhof,initialism,Bet rbf
BfGR,Bundesanstalt fur Geowissenschaften und Rohstoffe (Germany),initialism,Bf GR
BfLR,Bundesanstalt fur Landeskunde und Raumentwicklung (Germany),initialism,Bf LR
Bgw.,Bergwerk = mine,initialism,Bgw.
Bhf.,Bahnhof = Railway station,initialism,Bhf.
Bl.,Boulevard,initialism,Bl.
Blvd.,Boulevard,initialism,Blvd.
BnF,Bibliotheque national de France,initialism,BnF
Br.,Breite,initialism,Br.
Brck.,Brucke = bridge,initialism,Brck.
Bs. As.,Buenos Aires,initialism,Bs. As.
C,Cartography; Celsius (degrees),initialism,
C&GS,Coast and Geodetic Survey (U.S.); Commercial & Government Systems (Kodak),initialism,C & GS
C&MT,Communication & Measurement Technologies Ltd.,initialism,C & MT
C. BR,"Concrete, lime, cinder or cement brick",initialism,C. BR
C.B.,Hollow concrete or cement block construction,initialism,C.B.
C.C.,Chain carrier,initialism,C.C.
C.E.,Civil Engineer,initialism,C.E.
C.G.,Coast Guard,initialism,C.G.
C.O.I.,Office of Coordinator of Information (U.S.),initialism,C.O.I.
C.P.S.C.R.A.M.,Cum Privilegio Sacrae Caesareae Regiaeque Apostolicae Majestatis = With the privilege of the Holy Imperial and Royal Apostolic Majesty,initialism,C.P.S.C.R.A.M.
C.S.,Charles Simonneau,initialism,C.S.
C/A,Coarse-Acquisition (code),initialism,C / A
C4G,Center for GeoInformatics (Louisiana State University),initialism,C 4 G
CA,California; Cartographic and architectural; Census agglomeration (Canada),initialism,
CAA,Civil Aeronautics Administration (U.S.); Civil Aviation Authority (Great Britain),initialism,
CAAD,"Cartographic and Architectural Archives Div., National Archives of Canada",acronym,CAAD
CAC,Center for Advanced Computation (Univ. of Illinois); Compressed Aeronautical Chart (U.S. government),acronym,
CACS,Canadian Active Control System,acronym,
CAD,Computer-aided drafting; Computer assisted design,acronym,
CADD,Computer-aided design and drafting,acronym,
CADMAP,"Computer-aided drafting, mapping, and photogrammetry",acronym,CAD MAP
CADRG,Compressed ADRG,initialism,CAD RG
CAFF,Conservation of Arctic Flora and Fauna,acronym,
CAFM,Computer-aided facility management,initialism,CAF M
CAG,Canadian Association of Geographers,acronym,
